"Idade";"Cor";"Sexo";"Regiao";"Ocupacao";"Renda";"Escolaridade";"Classe_Social"
51;4;1;4;4;3;5;3
45;4;2;4;2;3;5;1
26;4;1;4;6;3;6;1
23;4;2;4;6;3;5;1
55;1;1;4;4;3;5;3
24;4;1;4;2;4;3;1
40;4;2;4;1;3;5;3
41;4;1;4;2;3;5;1
22;4;2;4;1;3;6;3
20;4;1;4;1;3;5;3
62;2;1;4;2;4;5;1
47;4;2;4;6;4;5;1
44;4;1;4;1;4;5;3
60;4;1;4;2;5;3;1
57;4;2;4;6;5;5;1
37;4;1;4;2;4;2;1
57;4;2;4;6;3;2;1
30;4;1;4;1;3;7;3
38;4;2;4;2;5;7;2
58;4;1;4;1;7;7;3
32;4;2;4;2;7;7;2
55;4;2;4;2;7;7;2
48;4;1;4;5;7;5;2
46;4;2;4;5;7;5;2
73;4;1;4;6;4;2;1
25;1;1;4;2;4;5;1
28;4;1;4;2;3;5;1
62;1;2;4;6;4;6;1
43;4;1;4;4;4;6;3
43;1;2;4;2;4;7;2
21;4;1;4;6;3;4;1
43;4;1;4;5;4;7;2
42;4;2;4;1;4;7;3
51;4;1;4;1;3;5;3
41;4;2;4;2;3;5;1
47;4;1;4;2;4;7;1
44;1;2;4;2;4;7;2
41;4;1;4;6;3;5;1
31;4;2;4;6;3;4;1
37;4;1;4;6;3;2;1
33;4;2;4;2;3;5;1
37;4;1;4;1;3;6;3
24;4;2;4;2;4;5;1
25;2;1;4;1;4;5;3
20;1;2;4;1;3;6;3
34;4;2;4;6;3;5;1
42;4;2;4;2;4;7;2
43;4;1;4;2;4;5;1
27;4;1;4;5;3;2;1
38;2;1;4;2;3;5;2
33;4;2;4;6;3;5;1
32;4;1;4;6;3;5;1
44;4;1;4;1;3;7;3
50;4;2;4;6;3;5;1
61;4;1;4;6;3;5;1
28;4;1;4;2;3;3;2
21;4;2;4;2;4;4;1
21;4;1;4;6;4;6;1
49;1;1;4;2;5;5;1
48;1;2;4;1;5;5;3
37;4;2;4;1;3;7;3
62;2;1;4;2;3;3;1
30;4;1;4;1;3;5;3
29;4;2;4;2;3;5;1
68;4;1;4;2;3;5;1
60;4;2;4;2;3;2;1
49;4;2;4;6;3;4;1
21;2;2;4;2;3;5;1
